NRO,Rejected 11/8,9/30,"Confirmation email, follow up question email, then follow up email to say thanks for interest, then follow up, confirmed I am still in consideration, rejection 11/8",Try for next year,,
CIA,Submitted,9/30,"Confirmation, have MyLink, still says recieved, December is the 90 days",3aa66da5-1733-488d-8855-78e0b1c84e28,,
NSA,CLOSED until next year,10/16,"Applied to both Hawaii and Maryland, looks like it's just for undergraduates but now on email with the Co-op team?",https://apply.intelligencecareers.gov/dashboard,,
AFRL,Submitted,10/16,"Submitted to multiple locations, sent a thank you, closes Jan 10th, on email with the coordinator",https://afrlscholars.usra.edu/students/,,
Lockheed Martin,Submitted,10/13,Confirmed submission,https://sjobs.brassring.com/TGnewUI/Search/Home/Home?partnerid=25037&siteid=5014#Applications,,
Lockheed Martin,"Submitted/Fort Worth, Texas, we'll see",10/22,Confirmed submission,https://www.lockheedmartinjobs.com/job/-/-/694/71250228384?utm_campaign=eo&utm_term=rm&utm_source=directemployers.com&utm_medium=feed&codes=IB8018,,
Oshkosh,Submitted,10/14,Confirmed submission ,https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/Oshkosh/userHome,,
"
Iberdrola Group/Avangrid","Submitted/Information Session, Process begins in January, Connected with recruiters on LinkedIn",10/19,Ongoing for two applications,https://iberdrola.wd3.myworkdayjobs.com/en-US/Iberdrola/userHome,"2025 Summer Info. Technology, Business Analyst, Cyber, MIS Intern",https://iberdrola.wd3.myworkdayjobs.com/en-US/Iberdrola/job/XMLNAME-2025-Summer-Data-Analytics-Data-Science-Intern_R-09184
Church & Dwight Co.,Submitted,10/22,Confirmed Submission,https://churchdwight.wd1.myworkdayjobs.com/en-US/chdcareers/userHome,,
Hudson River Trading,Submitted,10/22,Rejected 10/25/ this was a long shot,https://www.hudsonrivertrading.com/careers/job/?_4118765=Internship&q=algorithm+development+internship&gh_jid=6139121&req_id=484,,
Excelon,Submitted,11/5,Confirmed submission,https://careers-exeloncorp.icims.com/jobs/6157/2025-summer-internship---data-science-analytics-%28various-locations%29/job?mode=submit_apply,,
CVS,Submitted,11/5,Rejected 11/21 Confirmed submission,https://cvshealth.wd1.myworkdayjobs.com/en-US/CVS_Health_Careers/userHome,,
Shopify,Waiting/Signed up for email notifications,Jan 2025,Our Winter 2025 applications are now closed. Our Summer 2025 applications will open in January 2025.,https://internships.shopify.com/,,
NNSA Graduate Fellowship Program,"Need full transcript, application closes Janurary 25, currently open",11/5,Waiting to submit with offical transcript,https://www.pnnl.gov/apply-ngfp,,
Nightwing,Submitted,11/7,Confirmed submission,https://globalhr.wd5.myworkdayjobs.com/en-US/REC_RTX_Ext_Gateway/userHome,,
CVS,"Need to submit, wait for project",1/12025,https://cvshealth.wd1.myworkdayjobs.com/en-US/CVS_Health_Careers/job/NY---New-York/Machine-Learning-Engineering-Graduate-Internship---Summer-2025_R0409097,,,
,,,,,,
,,,,,,
Snap Inc,,,,,,
Linkedin,,,,,,
Salesforce,,,,,,
Nvidia ,,,,,,
GitHub,,,,,,
Slack,,,,,,
Facebook,,,,,,
Amazon,,,,,,
Credit Karma,,,,,,
Apple,,,,,,
Microsoft,,,,,,
Workday,,,,,,
Bloomberg,,,,,,
PayPal,,,,,,
Intuit,,,,,,
HubSpot,,,,,,
Walmart Labs,,,,,,
TripAdvisor,,,,,,
Shopify,,,,,,
Google,,,,,,
Cisco,,,,,,
Microsoft-Explore,,,,,,
